Date,North mean,North median,North std,Central mean,Central median,Central std,South mean,South median,South std,Total mean,Total median,Total std
2017-01-05,11.832848,5.639119,12.141634,13.631616,13.0863695,8.970346,6.5096736,5.1804075,5.0676,11.4906,5.861,10.862151
2017-01-12,9.101193,3.056186,12.035236,7.164264,2.9385188,7.345093,4.1938205,2.0841177,5.4766874,7.579123,2.6679535,9.715884
2017-03-03,5.1098228,2.624169,5.994659,3.747853,2.104762,3.1585758,3.029121,1.8498611,3.1481886,4.3222985,2.1080673,4.860417
2017-04-12,8.866685,2.7846577,13.028866,7.1244917,2.5165052,8.941412,3.2867625,1.7694206,4.333276,7.3726177,2.1171143,10.853682
2017-05-22,9.072849,3.228254,11.973999,8.092521,3.5309303,8.807888,4.4538713,2.4639535,5.2057242,8.022462,2.7649603,10.25495
2017-06-11,3.8546374,2.0918455,4.032425,3.5671868,2.3473806,2.7924669,3.1289055,2.59849,1.9211669,3.641785,2.4060233,3.383982
2017-07-01,8.335464,3.1331034,11.428941,6.5415263,3.6268451,6.237636,4.343809,2.89596,4.228371,7.0981975,3.06981,9.121658
2017-07-06,8.392815,2.8273852,11.130418,7.6336794,3.6346493,7.502974,4.876661,2.898322,5.5057573,7.5982504,2.954341,9.308574
2017-07-21,9.600634,3.9818544,12.061383,8.266006,4.57686,7.1430283,5.697041,3.5600166,5.3717074,8.521017,3.736446,9.774971
2017-07-26,10.282421,4.7142467,11.967396,10.613674,6.5795856,7.935474,6.89915,4.772485,5.6178074,9.879969,5.109458,9.937919
2017-07-29,8.769985,4.2672405,10.724335,7.9569325,4.59686,8.615945,4.682006,3.0805407,5.475869,7.8772755,3.798595,9.479022
2017-08-18,8.34154,2.5503645,12.096309,7.4217896,4.023443,8.116143,3.9465857,1.774065,5.298679,7.3234015,2.1992471,10.078455
2017-08-30,9.4506855,2.8606112,13.666423,9.837816,3.9644103,11.703583,4.822509,2.1112638,6.9936333,8.8653145,2.581489,12.2361355
2017-09-04,10.1390295,3.4986255,13.712396,11.336855,4.3890734,13.120457,5.234668,2.0967028,7.9928656,9.800299,3.1503482,12.898054
2017-09-12,13.029614,7.781698,13.477583,15.391404,9.36295,12.928262,8.256513,6.100429,7.034327,13.221135,7.63048,12.729642
2017-09-27,12.010271,6.2113667,13.312834,12.03792,6.7965713,10.664186,5.620761,3.5340915,5.717661,11.017448,5.664274,11.677612
2017-11-11,19.342794,13.604798,17.52032,16.530907,14.340575,12.913618,7.933212,3.7516253,8.825373,16.195705,12.010287,15.423279
2017-11-13,9.457749,2.9456577,13.597025,8.121444,3.872049,8.5246525,3.578473,1.5971352,4.5501585,8.138726,2.5561714,11.162157
2017-11-16,8.820671,5.0661716,10.181226,16.535988,15.1170435,5.1225543,7.4475303,4.6056285,8.371647,8.728176,5.0457106,10.0359955
2017-12-08,8.79079,2.987329,13.066985,9.214903,6.3864756,9.860079,3.5855763,1.242565,5.719021,8.181201,2.8693705,11.342039
2018-01-05,14.861016,10.828383,13.712785,29.226782,30.842506,9.33161,6.961886,5.22489,5.9017925,12.853302,7.979878,12.685149
2018-01-30,20.789343,16.68297,11.723306,19.773857,16.407547,9.425133,13.6694355,12.970232,5.799974,19.251892,15.945345,10.391756
2018-02-26,12.698567,5.6149974,13.943676,5.96546,3.5053282,5.636163,4.222269,3.1852703,3.0555296,7.204062,3.5314684,8.725384
2018-03-06,7.618822,4.603595,8.373509,6.67588,4.437512,4.909406,5.417219,4.4120946,3.1718833,6.5766234,4.456625,5.5944643
