Date,North mean,North median,North std,Central mean,Central median,Central std,South mean,South median,South std,Total mean,Total median,Total std
2017-01-05,16.71617,9.9096985,19.469648,14.734791,14.23348,9.405146,9.194648,6.151391,11.138033,15.160472,9.787885,16.716446
2017-01-12,27.283989,20.540447,27.68267,17.524458,12.71059,19.409037,14.403491,9.829007,14.321175,21.527407,15.218823,23.641865
2017-03-03,30.539883,24.404198,20.75669,24.096504,17.096848,21.440054,18.100147,12.666175,17.445845,26.42356,20.157808,21.028532
2017-04-12,36.893745,27.458288,34.578976,26.417583,23.22012,24.405645,24.828886,16.176624,25.419735,31.276443,24.485611,30.423338
2017-05-22,18.984642,13.465061,17.667652,14.964466,11.932791,12.2851925,12.435129,6.849368,13.828267,16.59845,11.668707,15.6303215
2017-06-11,22.400318,18.913485,16.827074,18.519165,15.14958,13.505956,20.380508,17.642967,12.781034,20.724667,17.347477,15.264224
2017-07-01,21.97116,18.325733,15.489232,18.982052,16.355543,13.531157,20.299374,17.477346,12.938169,20.665623,17.576689,14.528101
2017-07-06,21.097878,16.946661,16.508726,18.185587,14.0167885,14.052464,17.794106,13.328993,16.417696,19.568356,15.395602,15.715712
2017-07-21,17.651669,15.00774,10.90788,15.083285,12.940066,8.585201,16.49691,14.773881,8.109387,16.563383,14.266541,9.812958
2017-07-26,16.494095,13.150295,12.306594,13.802236,10.495293,9.5542755,13.101397,10.513422,8.93608,15.028478,11.677595,11.023502
2017-07-29,24.704119,17.28466,27.218468,25.31869,19.299843,26.7768,21.116055,14.908055,20.434542,24.385849,17.444952,26.22093
2017-08-18,18.794819,14.318963,16.156181,17.719027,13.431778,15.039442,16.90212,11.155627,17.342628,18.128685,13.477643,15.979895
2017-08-30,30.225042,23.379929,23.431526,24.156422,22.168985,17.205585,24.880383,20.201012,18.266321,27.255066,22.42439,20.862598
2017-09-04,18.602182,14.403399,15.479556,16.53206,12.868955,12.819064,14.88789,9.547951,15.37607,17.292883,13.230463,14.623585
2017-09-12,22.294796,18.625807,12.847762,17.418852,15.894098,8.105797,21.460947,18.878872,10.177278,20.407778,17.732431,11.21187
2017-09-27,18.227465,15.136286,11.838162,14.923893,12.000494,9.726929,16.193182,11.931677,13.341911,16.729902,13.753268,11.455577
2017-11-11,28.613255,22.980562,23.467281,23.861038,18.227858,24.782555,30.071209,20.130148,31.512741,27.635666,21.488811,25.27364
2017-11-13,12.846824,10.122359,10.291929,10.479838,7.4962654,8.255676,11.147444,6.9089756,11.330581,11.757352,8.755122,9.821079
2017-11-16,19.139997,10.915276,23.726208,55.435276,48.577858,20.364115,25.855919,14.430301,33.166332,19.87476,11.195975,24.864983
2017-12-08,22.300945,16.93422,23.776133,17.723347,13.606617,16.4026,22.995586,11.61473,30.955727,20.83524,15.230528,22.904802
2018-01-05,23.232946,17.92636,20.763842,33.388756,32.024628,5.228982,24.288784,13.7453785,27.799908,23.601484,17.276653,22.773493
2018-01-30,16.233133,14.284055,7.927214,15.629434,14.240992,5.0221777,14.90948,13.45248,5.3442407,15.795534,14.130131,6.594167
2018-02-26,35.700096,30.443737,21.48525,32.868164,31.782387,12.824659,27.958,26.735834,9.25167,32.494022,30.076437,15.047818
2018-03-06,16.431326,13.117783,11.385559,16.994379,12.639976,12.2738905,12.214906,8.921807,9.610884,15.741776,11.4427185,11.672679
2018-03-08,24.33523,20.482304,18.377876,18.941843,16.454636,14.82019,14.709822,11.783414,11.706094,21.005785,17.693928,16.714003
2018-03-11,21.364208,18.043766,16.819254,17.638235,14.281398,12.506622,14.5332,11.455882,11.083877,19.022501,15.444478,14.85613
2018-03-13,20.088099,17.553389,14.392064,16.471857,13.167986,12.634276,12.750945,9.993814,10.529156,17.774271,14.825225,13.566064
2018-03-16,18.796907,15.648338,13.080924,16.911829,13.458565,13.10546,13.5848,10.2724,11.144697,17.359379,14.035559,12.946305
2018-04-02,24.184618,20.309755,16.812553,19.493303,16.777687,11.807769,21.17146,16.685755,10.955831,22.534733,19.116604,15.402091
2018-04-05,23.752937,19.324018,18.1592,17.201244,13.194166,12.672058,13.65049,10.843045,9.196184,19.852455,15.395648,15.7323885
2018-04-07,24.801085,20.700256,18.662909,18.217026,14.010589,12.643812,20.034372,14.184143,19.474272,21.691908,17.172941,17.038534
2018-04-12,21.695297,18.234468,15.637631,20.400969,14.871193,15.894839,14.042366,9.633411,12.339449,20.089268,14.942735,15.504308
2018-04-20,24.186941,19.998943,17.862597,21.330345,14.791784,17.578148,14.403589,10.120199,11.998162,21.714933,15.989182,17.3359
2018-04-25,23.392397,18.68483,15.286735,20.87191,14.115202,15.788389,15.950605,11.588535,12.003163,21.381275,15.528515,15.238313
2018-05-05,39.347553,30.501167,35.773552,34.737255,30.989437,26.620155,37.059113,32.080566,20.638338,37.858864,30.729992,33.067184
2018-05-12,17.707022,13.102316,14.279849,15.5274315,9.966898,12.932585,13.748511,7.5921674,17.694128,16.318348,10.582735,14.3868
2018-05-15,18.232323,15.557421,12.203229,14.0813875,9.8926735,10.793017,14.341355,9.759492,14.244186,16.16807,12.470957,12.204377
2018-05-20,13.843261,11.921764,9.046796,11.432193,8.934179,8.171501,11.568459,8.5446205,9.438595,12.642287,10.480554,8.874638
2018-05-22,12.975569,10.526884,10.10771,11.14151,7.8947797,8.447868,10.666123,7.458536,10.020462,11.974074,9.060687,9.582618
2018-05-25,33.878,20.376833,40.91719,35.105434,24.602547,36.67634,,,,34.29996,21.911684,39.51498
2018-05-27,19.106998,16.579216,11.581652,16.883701,13.92473,11.889517,15.550548,12.171392,11.315208,17.813942,15.058598,11.717041
2018-06-06,14.278557,11.998285,10.006628,13.335595,10.969172,9.008251,12.489853,9.627945,9.810256,13.671849,11.27577,9.653456
2018-06-09,14.477888,12.329132,9.975412,12.4563055,10.758842,8.51525,12.403,10.197813,9.133304,13.44619,11.3452635,9.40728
2018-06-11,25.024815,16.268675,30.59484,24.513283,20.715387,24.244621,39.79147,23.60527,46.287483,27.08739,17.923298,32.825306
2018-06-14,18.344559,13.866875,17.773691,16.316221,12.874714,14.972471,16.616604,12.178078,15.098636,17.364357,13.266636,16.474335
2018-07-11,13.996741,10.029792,14.520438,11.762205,9.796309,9.186157,11.217541,7.807089,10.66149,12.78593,9.610503,12.371632
2018-07-14,15.810023,13.776487,9.010268,13.928848,12.036431,8.768312,13.919469,11.430132,8.110895,14.857151,12.751966,8.843171
2018-07-19,30.135193,16.25227,38.988663,25.348742,16.389843,32.119366,18.89684,15.442709,14.487802,26.627983,16.088491,33.937603
2018-08-08,21.687618,15.714405,25.45457,16.54029,11.803585,18.775759,15.704829,10.868103,16.180616,17.78034,12.857856,20.527351
2018-08-10,12.029602,10.063374,8.759016,11.817542,8.217236,10.849088,11.093111,6.9235544,11.104619,11.8069515,8.939436,9.899859
2018-08-25,17.473486,14.084162,14.851597,16.181152,13.369091,13.581958,14.249155,11.042203,11.960035,16.536263,13.404534,14.059734
2018-09-07,14.450334,11.450912,12.706201,15.641676,12.655535,14.295638,13.269279,8.711322,14.831544,14.686301,11.4559555,13.630195
2018-09-09,15.031984,12.612068,12.254858,13.950054,11.962835,9.781923,14.006765,10.582252,12.798,14.505195,12.119584,11.498878
2018-09-17,,,,,,,,,,,,
2018-09-19,19.742884,17.042927,15.271321,16.552053,13.804808,13.01441,13.594648,9.340474,13.400515,17.699175,14.886584,14.413906
2018-09-22,19.61637,15.8090105,18.172554,15.625347,12.592552,11.680431,14.783357,10.0463085,14.426862,17.345385,13.935469,15.57029
2018-09-24,31.998915,25.494102,23.971846,21.876696,19.931643,13.4164295,20.758152,18.234499,12.019585,26.600012,21.86342,19.830559
2018-10-09,26.46618,18.332878,29.62457,18.436306,14.127302,16.721672,22.144861,13.596956,27.26173,22.976704,16.333952,25.676523
2018-11-16,20.429438,14.070572,22.822271,28.177193,25.569607,16.29089,24.147385,10.547449,36.207077,21.216621,14.807651,22.84555
2018-11-26,22.461355,16.483429,24.956064,15.680489,13.885977,14.791664,18.808521,10.218149,28.317234,19.732004,14.959448,22.355528
2018-12-08,15.888614,9.985193,20.810396,14.631787,10.892141,16.470266,20.834183,12.061642,25.356033,16.081572,10.449033,20.267649
2018-12-11,15.248472,12.593777,12.998148,,,,27.666641,14.116967,23.006943,15.278532,12.593991,13.045942
2018-12-13,30.17099,20.902319,30.969948,16.83374,14.497157,11.788771,20.9764,18.103878,13.981858,24.083529,18.19239,24.387028
2018-12-16,20.567719,13.685833,24.97652,20.944204,18.667328,15.363718,15.820908,8.096548,22.802887,19.63013,13.1754875,23.339212
2018-12-31,28.56621,24.382496,21.878801,39.559086,35.975895,15.116897,15.866154,7.8118854,22.849325,26.670242,23.063406,22.512943
2019-01-10,,,,,,,,,,,,
2019-01-17,21.059294,18.42268,13.428618,17.59976,11.719973,13.47136,15.512086,11.631864,12.270577,19.01387,14.896496,13.451211
2019-01-30,20.976574,15.614391,16.378872,24.031525,17.625061,18.476437,17.32853,11.185184,17.758074,20.699629,14.51861,17.384174
2019-02-01,23.111477,20.977266,13.260812,18.640545,12.788011,13.583527,17.646917,14.365507,11.594438,20.722246,17.331924,13.364073
2019-02-06,21.932253,16.960464,22.31132,15.169682,9.33375,12.12136,18.392178,13.234776,19.78179,18.920435,13.271197,18.96111
2019-02-09,20.737055,16.198784,17.692326,16.86093,11.719276,14.805833,12.612571,7.997171,12.775228,17.768682,12.345871,16.139698
2019-02-16,24.84389,19.11335,25.473824,17.211943,12.165677,13.965997,12.503238,6.811672,14.169241,20.337343,14.472397,21.177696
2019-02-24,18.79131,11.337465,18.037535,16.965683,10.238083,16.536919,12.032637,6.5950856,13.112926,17.008003,9.637652,16.967587
2019-03-01,25.376215,18.974112,27.370625,17.316057,11.406281,14.382065,17.2178,11.70565,18.358656,21.349043,14.835223,22.494982
2019-03-03,21.757708,18.088984,17.14857,16.42168,11.168336,13.746944,15.555812,11.630587,13.041263,18.907188,14.296197,15.674715
2019-03-11,18.227583,14.096951,15.270695,18.162903,13.280542,16.090675,13.069889,7.3428345,14.13739,17.391823,11.971842,15.51719
2019-03-21,,,,32.727062,19.87175,31.0188,,,,32.727062,19.87175,31.0188
2019-03-23,18.332047,15.705653,13.083239,14.246336,10.678915,10.168088,14.955471,10.674353,12.989666,16.375475,13.238674,12.265702
2019-04-02,22.102495,19.058834,16.199305,19.702862,16.94788,12.91574,18.420864,13.9241085,14.490225,20.840698,17.632328,14.957047
2019-04-12,21.899088,19.005236,15.029114,17.213837,14.522815,12.435136,17.25585,13.066647,14.005783,19.545187,16.491522,14.199569
2019-04-15,16.638842,13.866049,10.895958,13.716967,10.751546,9.27594,13.806869,10.20713,10.454394,15.175869,12.078038,10.379243
2019-04-17,16.468393,13.388077,12.236469,14.686878,11.225592,10.932771,15.117824,10.655137,13.689241,15.629988,12.329765,12.051705
2019-04-30,18.812517,14.812216,14.238726,14.593978,9.918399,10.512228,14.338729,10.418562,11.587927,16.514965,11.994688,12.72241
2019-05-02,17.271835,14.701758,11.172856,14.350281,11.344468,9.34072,15.557717,12.86771,10.446465,15.978152,13.200308,10.534988
2019-05-05,15.815763,13.239414,10.656688,12.765714,9.492001,9.214985,13.740511,10.46759,10.177253,14.42161,11.318058,10.193144
2019-05-15,13.943903,12.236424,9.665689,10.770038,8.387197,7.497512,13.968986,8.705822,14.475621,12.817767,10.23567,9.981326
2019-06-01,15.562182,13.852692,8.751926,13.669584,11.962456,8.593296,12.024121,9.486796,9.5305395,14.424614,12.597355,8.885462
2019-06-16,18.237421,15.701096,11.893918,15.080359,11.502236,11.261608,15.36217,10.8704815,13.272201,16.68326,13.368612,11.986035
2019-06-19,19.516504,17.285728,9.616736,15.954423,12.900805,8.605242,16.190456,13.130472,9.029671,17.748486,15.000267,9.337341
2019-06-21,17.457277,14.931889,10.583645,14.562069,11.28426,9.475604,14.866789,11.09322,11.621234,16.03937,12.865053,10.460407
2019-06-24,23.811872,22.669035,17.202242,16.762783,13.816798,13.282873,16.417265,11.549129,14.514272,19.527008,16.979378,15.5428505
